id,offset_hex,end_hex,size_bytes,size_kb
0,0x0012a000,0x0012e028,16424,16.04
1,0x0012e200,0x00136228,32808,32.04
2,0x00136400,0x00136600,512,0.50
3,0x00136600,0x00136620,32,0.03
4,0x00136800,0x0013e828,32808,32.04
5,0x0013ea00,0x0013fa28,4136,4.04
6,0x0013fc00,0x00220ec8,922312,900.70
7,0x00221000,0x00222e1e,7710,7.53
8,0x00223000,0x00224e1e,7710,7.53
9,0x00225000,0x00226e1e,7710,7.53
10,0x00227000,0x00228e1e,7710,7.53
11,0x00229000,0x0022ae1e,7710,7.53
12,0x0022b000,0x0022ce1e,7710,7.53
13,0x0022d000,0x0022ee1e,7710,7.53
14,0x0022f000,0x00230e1e,7710,7.53
15,0x00231000,0x00232e1e,7710,7.53
16,0x00233000,0x00234e1e,7710,7.53
17,0x00235000,0x00236e1e,7710,7.53
18,0x00237000,0x0023b028,16424,16.04
19,0x0023b200,0x0023d01e,7710,7.53
20,0x0023d200,0x0023f01e,7710,7.53
21,0x0023f200,0x0024101e,7710,7.53
22,0x00241200,0x00241586,902,0.88
23,0x00241600,0x00241ab0,1200,1.17
24,0x00241c00,0x002420b2,1202,1.17
25,0x00242200,0x0024267f,1151,1.12
26,0x00242800,0x00242c85,1157,1.13
27,0x00242e00,0x002431ad,941,0.92
28,0x00243200,0x00243640,1088,1.06
29,0x00243800,0x00243c70,1136,1.11
30,0x00243e00,0x00244204,1028,1.00
31,0x00244400,0x00244811,1041,1.02
32,0x00244a00,0x00244a57,87,0.08
33,0x00244c00,0x0024cc28,32808,32.04
34,0x0024ce00,0x0024cfc6,454,0.44
35,0x0024d000,0x0033c0c8,979144,956.20
36,0x0033c200,0x0033d07e,3710,3.62
37,0x0033d200,0x0033e07e,3710,3.62
38,0x0033e200,0x0033f07e,3710,3.62
39,0x0033f200,0x0034007e,3710,3.62
40,0x00340200,0x0034107e,3710,3.62
41,0x00341200,0x0034207e,3710,3.62
42,0x00342200,0x0034307e,3710,3.62
43,0x00343200,0x0034407e,3710,3.62
44,0x00344200,0x0034507e,3710,3.62
45,0x00345200,0x0034607e,3710,3.62
46,0x00346200,0x0034a228,16424,16.04
47,0x0034a400,0x00352428,32808,32.04
48,0x00352600,0x0035a628,32808,32.04
49,0x0035a800,0x00362828,32808,32.04
50,0x00362a00,0x00363228,2088,2.04
51,0x00363400,0x0036b428,32808,32.04
52,0x0036b600,0x00373628,32808,32.04
53,0x00373800,0x00377828,16424,16.04
54,0x00377a00,0x00379a28,8232,8.04
55,0x00379c00,0x00381c28,32808,32.04
56,0x00381e00,0x003a3500,136960,133.75
57,0x003a3600,0x003a9628,24616,24.04
58,0x003a9800,0x003af828,24616,24.04
59,0x003afa00,0x003b5a28,24616,24.04
60,0x003b5c00,0x003bbc28,24616,24.04
61,0x003bbe00,0x003c1e28,24616,24.04
62,0x003c2000,0x003c8028,24616,24.04
63,0x003c8200,0x003ce228,24616,24.04
64,0x003ce400,0x003d6428,32808,32.04
65,0x003d6600,0x003dc628,24616,24.04
66,0x003dc800,0x003e2828,24616,24.04
67,0x003e2a00,0x003e8a28,24616,24.04
68,0x003e8c00,0x003eec28,24616,24.04
69,0x003eee00,0x003f4e28,24616,24.04
70,0x003f5000,0x00405208,66056,64.51
71,0x00405400,0x0040d428,32808,32.04
72,0x0040d600,0x00411628,16424,16.04
73,0x00411800,0x00413828,8232,8.04
74,0x00413a00,0x00413aa8,168,0.16
75,0x00413c00,0x00413ca8,168,0.16
76,0x00413e00,0x00413ea8,168,0.16
77,0x00414000,0x004140a8,168,0.16
78,0x00414200,0x004142a8,168,0.16
79,0x00414400,0x004144a8,168,0.16
80,0x00414600,0x004146a8,168,0.16
81,0x00414800,0x004148a8,168,0.16
82,0x00414a00,0x00414aa8,168,0.16
