    target  count  region      srcs
   0xd4694     1  other       0x2096794
  0x28bb18     1  other       0x20d6ccc
  0x28bf28     1  other       0x20d70dc
  0x2d457c     1  other       0x2096600
  0x2d6d38     1  other       0x2098f74
  0x313ec4     1  other       0x20da1d0
  0x4d78a8     1  other       0x2099958
  0x7d18a8     1  other       0x2093940
  0xa580d4     1  other       0x209a1e8
  0xaa8d70     1  other       0x20d53d8
  0xca54f4     1  other       0x20da59c
  0xd5c824     1  other       0x20c62b8
  0xe5736c     1  other       0x20995b8
  0xf56d9c     1  other       0x2098fd8
 0x10a2cbc     1  other       0x20c76cc
 0x13d45e8     1  other       0x20966e8
 0x146620c     1  other       0x20d8554
 0x15d849c     1  other       0x209a530
 0x19d45cc     1  other       0x20966cc
 0x1b90690     1  other       0x20c6b54
 0x1bc0dbc     1  other       0x20c5e08
 0x1bc1f08     1  other       0x20c6f54
 0x1c585ac     1  other       0x209a640
 0x1f0423c     1  other       0x20c61e8
 0x1ff8000     1  pool0x1ff8  0x2050e44
 0x1ff8060     2  pool0x1ff8  0x2050d44, 0x2050dc0
 0x1ff80d4     3  pool0x1ff8  0x2050cbc, 0x2050cdc, 0x20514a8
 0x1ff85c8     1  pool0x1ff8  0x2054fa8
 0x2000950     1  plain       0x204565c
 0x2000b60     7  plain       0x20405a8, 0x2040720, 0x2040818, 0x2068a34, 0x20690fc, 0x206c544
 0x2001a98     1  plain       0x20241a8
 0x2001bd0     2  plain       0x202424c, 0x20242b4
 0x2003760     1  plain       0x200831c
 0x20037dc     2  plain       0x2008e60, 0x2008e7c
 0x2003884     1  plain       0x20043f0
 0x20038f0     1  plain       0x205f94c
 0x20038fc    29  plain       0x20b8df8, 0x20b8e70, 0x20b8fcc, 0x20b9028, 0x20b9084, 0x20b9110
 0x2003938     2  plain       0x200448c, 0x2004724
 0x20039cc     2  plain       0x20040b8, 0x2004184
 0x2003a58     1  plain       0x20041d8
 0x2003d60     1  plain       0x2005040
 0x2003e90     1  plain       0x20042c8
 0x2004398     1  decomp      0x200438c
 0x20043e4     1  decomp      0x20044fc
 0x2004580     1  decomp      0x2004570
 0x20046b4     1  decomp      0x2004664
 0x20049d8     2  decomp      0x2004770, 0x2004988
 0x2004a54     1  decomp      0x200d2d4
 0x2004a80     1  decomp      0x20055c8
 0x2004b0c     2  decomp      0x200ac68, 0x200b4e8
 0x2004b9c     1  decomp      0x2004ad0
 0x2004c0c     4  decomp      0x2004b54, 0x20078f0, 0x2007af4, 0x200ad38
 0x2004c30    35  decomp      0x206e068, 0x206e11c, 0x206e174, 0x206ebac, 0x206f1a8, 0x206f44c
 0x2004c9c     2  decomp      0x200563c, 0x200ac40
 0x2004cc8     1  decomp      0x20a91b4
 0x2004cdc     7  decomp      0x2064c20, 0x2065158, 0x20710f8, 0x20715b4, 0x207aa3c, 0x20b90c8
 0x2004d28     6  decomp      0x200411c, 0x2005008, 0x2092d74, 0x2093774, 0x20b8bc0, 0x20b944c
 0x2004d48     1  decomp      0x2004cd0
 0x2004df8     9  decomp      0x202af3c, 0x202af74, 0x202afbc, 0x202c0cc, 0x20324d0, 0x2093388
 0x2004e5c     2  decomp      0x2004e18, 0x2004e48
 0x2005058     2  decomp      0x2004e84, 0x2004f8c
 0x20058d8     1  decomp      0x2005508
 0x2005f30     3  decomp      0x2005bb4, 0x2005c28, 0x2005d94
 0x2006050     1  decomp      0x2005580
 0x2006410     2  decomp      0x2005330, 0x200545c
