file_idx,label,wave_idx,type,loop,rate,samples,warn,wav_name
106,arc_se_stay,0,2,1,22064,25433,,arc_se_stay_w00
106,arc_se_stay,1,2,1,22058,31385,,arc_se_stay_w01
106,arc_se_stay,2,2,0,44100,3537,,arc_se_stay_w02
106,arc_se_stay,3,1,0,22050,5860,,arc_se_stay_w03
106,arc_se_stay,4,2,1,44100,33873,,arc_se_stay_w04
106,arc_se_stay,5,2,1,44109,38313,,arc_se_stay_w05
106,arc_se_stay,6,2,0,22050,5217,,arc_se_stay_w06
106,arc_se_stay,7,2,0,22050,3121,,arc_se_stay_w07
106,arc_se_stay,8,2,1,22062,14145,,arc_se_stay_w08
106,arc_se_stay,9,2,1,22385,2393,,arc_se_stay_w09
106,arc_se_stay,10,2,0,22050,6201,,arc_se_stay_w10
106,arc_se_stay,11,2,1,44108,14441,,arc_se_stay_w11
106,arc_se_stay,12,2,0,22050,2241,,arc_se_stay_w12
106,arc_se_stay,13,2,0,22050,1905,,arc_se_stay_w13
106,arc_se_stay,14,2,1,22213,4433,,arc_se_stay_w14
106,arc_se_stay,15,2,0,22050,5545,,arc_se_stay_w15
106,arc_se_stay,16,2,0,22050,9681,,arc_se_stay_w16
106,arc_se_stay,17,2,0,22050,15673,,arc_se_stay_w17
106,arc_se_stay,18,2,0,44100,2489,,arc_se_stay_w18
106,arc_se_stay,19,2,0,22050,6761,,arc_se_stay_w19
107,arc_se000,0,2,0,44100,2081,,arc_se000_w00
107,arc_se000,1,2,0,44100,19505,,arc_se000_w01
107,arc_se000,2,2,0,44100,13689,,arc_se000_w02
108,arc_se001,0,2,0,44100,5145,,arc_se001_w00
108,arc_se001,1,2,0,44100,23665,,arc_se001_w01
108,arc_se001,2,2,0,44100,6569,,arc_se001_w02
108,arc_se001,3,2,0,44100,38201,,arc_se001_w03
109,arc_se002,0,2,1,44100,42417,,arc_se002_w00
109,arc_se002,1,2,1,44158,46777,,arc_se002_w01
109,arc_se002,2,2,1,44118,40609,,arc_se002_w02
110,arc_se003,0,2,0,44100,10193,,arc_se003_w00
110,arc_se003,1,2,0,44100,36641,,arc_se003_w01
110,arc_se003,2,2,0,44100,31233,,arc_se003_w02
111,arc_se004,0,2,0,44100,14073,,arc_se004_w00
111,arc_se004,1,2,0,44100,21305,,arc_se004_w01
111,arc_se004,2,2,0,44100,7065,,arc_se004_w02
112,arc_se005,0,2,0,44100,33697,,arc_se005_w00
112,arc_se005,1,2,0,44100,7665,,arc_se005_w01
112,arc_se005,2,2,0,44100,4889,,arc_se005_w02
112,arc_se005,3,2,0,44100,29545,,arc_se005_w03
112,arc_se005,4,2,0,44100,5417,,arc_se005_w04
113,arc_se006,0,2,0,44100,26545,,arc_se006_w00
113,arc_se006,1,2,0,44100,36609,,arc_se006_w01
113,arc_se006,2,2,0,44100,21801,,arc_se006_w02
114,arc_se007,0,2,0,44100,4825,,arc_se007_w00
114,arc_se007,1,2,0,44100,6105,,arc_se007_w01
115,arc_se008,0,2,0,44100,61617,,arc_se008_w00
115,arc_se008,1,2,0,44100,59033,,arc_se008_w01
115,arc_se008,2,2,0,44100,3849,,arc_se008_w02
116,arc_se009,0,2,0,44100,24905,,arc_se009_w00
116,arc_se009,1,2,0,44100,10129,,arc_se009_w01
116,arc_se009,2,2,0,44100,3457,,arc_se009_w02
117,arc_se010,0,2,0,44100,6737,,arc_se010_w00
117,arc_se010,1,2,0,44100,31185,,arc_se010_w01
117,arc_se010,2,2,0,44100,7505,,arc_se010_w02
118,arc_se011,0,2,0,44100,21145,,arc_se011_w00
118,arc_se011,1,2,0,44100,18233,,arc_se011_w01
118,arc_se011,2,2,0,44100,22065,,arc_se011_w02
118,arc_se011,3,2,0,44100,12817,,arc_se011_w03
119,arc_se012,0,2,0,44100,15473,,arc_se012_w00
119,arc_se012,1,2,0,44100,23889,,arc_se012_w01
120,arc_se013,0,2,0,44100,1313,,arc_se013_w00
120,arc_se013,1,2,0,21024,361,,arc_se013_w01
120,arc_se013,2,2,0,44100,1561,,arc_se013_w02
121,arc_se014,0,2,0,44100,6993,,arc_se014_w00
121,arc_se014,1,2,0,44100,4169,,arc_se014_w01
121,arc_se014,2,2,0,44100,3817,,arc_se014_w02
122,arc_se015,0,2,0,44100,3537,,arc_se015_w00
122,arc_se015,1,1,0,44100,13240,,arc_se015_w01
122,arc_se015,2,1,0,44100,18266,,arc_se015_w02
122,arc_se015,3,2,0,44100,3849,,arc_se015_w03
123,arc_se016,0,2,0,44100,13105,,arc_se016_w00
123,arc_se016,1,2,0,44100,6161,,arc_se016_w01
123,arc_se016,2,2,0,44100,6625,,arc_se016_w02
124,arc_se017,0,2,0,44100,22785,,arc_se017_w00
124,arc_se017,1,2,0,44100,20377,,arc_se017_w01
124,arc_se017,2,2,0,44100,6497,,arc_se017_w02
125,arc_se018,0,2,0,44100,30145,,arc_se018_w00
125,arc_se018,1,2,0,44100,25273,,arc_se018_w01
125,arc_se018,2,2,0,44100,15105,,arc_se018_w02
126,arc_se019,0,2,0,44100,21633,,arc_se019_w00
126,arc_se019,1,2,0,44100,6185,,arc_se019_w01
126,arc_se019,2,2,0,44100,11993,,arc_se019_w02
127,arc_se020,0,2,0,44100,5553,,arc_se020_w00
127,arc_se020,1,2,0,44100,7681,,arc_se020_w01
128,arc_se021,0,2,0,44100,7217,,arc_se021_w00
128,arc_se021,1,2,0,44100,6593,,arc_se021_w01
128,arc_se021,2,2,0,44100,1561,,arc_se021_w02
129,arc_se022,0,2,0,44100,4313,,arc_se022_w00
129,arc_se022,1,2,0,44100,3593,,arc_se022_w01
129,arc_se022,2,2,0,44100,3529,,arc_se022_w02
130,arc_se_edit,0,2,1,22063,11697,,arc_se_edit_w00
130,arc_se_edit,1,2,0,22050,705,,arc_se_edit_w01
130,arc_se_edit,2,2,0,22050,1889,,arc_se_edit_w02
130,arc_se_edit,3,2,0,22050,5873,,arc_se_edit_w03
130,arc_se_edit,4,2,0,22050,4929,,arc_se_edit_w04
130,arc_se_edit,5,2,0,22050,5761,,arc_se_edit_w05
130,arc_se_edit,6,2,0,22050,1145,,arc_se_edit_w06
130,arc_se_edit,7,2,0,22050,1761,,arc_se_edit_w07
130,arc_se_edit,8,2,0,22050,1977,,arc_se_edit_w08
130,arc_se_edit,9,2,0,22050,4513,,arc_se_edit_w09
130,arc_se_edit,10,0,1,22056,6764,,arc_se_edit_w10
130,arc_se_edit,11,2,1,22056,27089,,arc_se_edit_w11
130,arc_se_edit,12,2,0,44100,3473,,arc_se_edit_w12
130,arc_se_edit,13,2,0,22050,5217,,arc_se_edit_w13
131,arc_se023,0,2,0,44100,14777,,arc_se023_w00
133,arc_se024,0,2,0,22050,1145,,arc_se024_w00
133,arc_se024,1,2,0,44100,16009,,arc_se024_w01
133,arc_se024,2,2,0,44100,11657,,arc_se024_w02
133,arc_se024,3,2,0,44100,6937,,arc_se024_w03
133,arc_se024,4,2,0,44100,3473,,arc_se024_w04
133,arc_se024,5,2,0,44100,5737,,arc_se024_w05
136,title_ARC,0,2,1,22053,19529,,title_ARC_w00
136,title_ARC,1,2,1,22056,14377,,title_ARC_w01
136,title_ARC,2,2,1,22061,10785,,title_ARC_w02
136,title_ARC,3,2,1,22059,9689,,title_ARC_w03
136,title_ARC,4,2,0,22050,3089,,title_ARC_w04
136,title_ARC,5,2,0,22050,3313,,title_ARC_w05
136,title_ARC,6,2,1,22063,9937,,title_ARC_w06
136,title_ARC,7,2,1,22073,8673,,title_ARC_w07
136,title_ARC,8,2,1,22121,7417,,title_ARC_w08
136,title_ARC,9,2,1,22109,4593,,title_ARC_w09
136,title_ARC,10,2,1,22050,20481,,title_ARC_w10
136,title_ARC,11,2,1,22058,19569,,title_ARC_w11
136,title_ARC,12,2,0,22050,1473,,title_ARC_w12
136,title_ARC,13,2,0,22050,1785,,title_ARC_w13
136,title_ARC,14,2,0,22050,10713,,title_ARC_w14
136,title_ARC,15,2,1,22119,27625,,title_ARC_w15
136,title_ARC,16,2,1,22050,6201,,title_ARC_w16
136,title_ARC,17,2,1,22076,4825,,title_ARC_w17
136,title_ARC,18,2,1,22050,6041,,title_ARC_w18
136,title_ARC,19,2,1,22092,32985,,title_ARC_w19
136,title_ARC,20,2,1,22079,11825,,title_ARC_w20
136,title_ARC,21,2,1,22147,17113,,title_ARC_w21
136,title_ARC,22,2,1,22122,15113,,title_ARC_w22
136,title_ARC,23,2,1,22050,15769,,title_ARC_w23
136,title_ARC,24,2,1,22159,13921,,title_ARC_w24
136,title_ARC,25,2,1,22185,13073,,title_ARC_w25
136,title_ARC,26,2,1,22060,13121,,title_ARC_w26
136,title_ARC,27,2,1,22050,7065,,title_ARC_w27
136,title_ARC,28,2,1,22126,5065,,title_ARC_w28
136,title_ARC,29,2,0,22050,2441,,title_ARC_w29
136,title_ARC,30,2,0,22050,4601,,title_ARC_w30
136,title_ARC,31,2,0,22050,6001,,title_ARC_w31
136,title_ARC,32,2,0,22050,8177,,title_ARC_w32
136,title_ARC,33,2,1,22070,20209,,title_ARC_w33
136,title_ARC,34,2,1,22050,17921,,title_ARC_w34
136,title_ARC,35,2,0,22050,7449,,title_ARC_w35
136,title_ARC,36,2,0,22050,7233,,title_ARC_w36
137,stage_jazz_ARC,0,2,1,22079,11937,,stage_jazz_ARC_w00
137,stage_jazz_ARC,1,2,1,22091,12537,,stage_jazz_ARC_w01
137,stage_jazz_ARC,2,2,1,22063,11697,,stage_jazz_ARC_w02
137,stage_jazz_ARC,3,2,0,22050,4561,,stage_jazz_ARC_w03
137,stage_jazz_ARC,4,2,1,22110,17649,,stage_jazz_ARC_w04
137,stage_jazz_ARC,5,2,0,22050,1593,,stage_jazz_ARC_w05
137,stage_jazz_ARC,6,2,0,22050,8753,,stage_jazz_ARC_w06
137,stage_jazz_ARC,7,2,0,22050,4001,,stage_jazz_ARC_w07
137,stage_jazz_ARC,8,2,1,22051,31617,,stage_jazz_ARC_w08
137,stage_jazz_ARC,9,2,1,22054,21577,,stage_jazz_ARC_w09
137,stage_jazz_ARC,10,2,1,22087,11073,,stage_jazz_ARC_w10
137,stage_jazz_ARC,11,2,1,22103,10105,,stage_jazz_ARC_w11
137,stage_jazz_ARC,12,2,1,22053,19529,,stage_jazz_ARC_w12
137,stage_jazz_ARC,13,2,1,22056,14377,,stage_jazz_ARC_w13
137,stage_jazz_ARC,14,2,1,22061,10785,,stage_jazz_ARC_w14
137,stage_jazz_ARC,15,2,1,22059,9689,,stage_jazz_ARC_w15
137,stage_jazz_ARC,16,2,1,22228,2665,,stage_jazz_ARC_w16
137,stage_jazz_ARC,17,2,0,22050,3089,,stage_jazz_ARC_w17
137,stage_jazz_ARC,18,2,0,22050,3313,,stage_jazz_ARC_w18
137,stage_jazz_ARC,19,2,1,22073,8673,,stage_jazz_ARC_w19
137,stage_jazz_ARC,20,2,1,22121,7417,,stage_jazz_ARC_w20
137,stage_jazz_ARC,21,2,1,22109,4593,,stage_jazz_ARC_w21
137,stage_jazz_ARC,22,2,0,22050,5833,,stage_jazz_ARC_w22
137,stage_jazz_ARC,23,2,1,22089,4065,,stage_jazz_ARC_w23
137,stage_jazz_ARC,24,2,1,22085,3657,,stage_jazz_ARC_w24
137,stage_jazz_ARC,25,2,1,22063,2809,,stage_jazz_ARC_w25
137,stage_jazz_ARC,26,2,1,22102,4433,,stage_jazz_ARC_w26
