H5帧690: 精确匹配 74.44% (45737/61440), 容差8 0.00%
H5帧691: 精确匹配 74.61% (45839/61440), 容差8 0.00%
H5帧692: 精确匹配 74.61% (45839/61440), 容差8 0.00%
H5帧693: 精确匹配 74.61% (45839/61440), 容差8 0.00%
H5帧694: 精确匹配 77.64% (47705/61440), 容差8 0.00%
H5帧695: 精确匹配 77.64% (47705/61440), 容差8 0.00%
H5帧696: 精确匹配 78.31% (48112/61440), 容差8 0.00%
H5帧697: 精确匹配 78.31% (48112/61440), 容差8 0.00%
H5帧698: 精确匹配 82.83% (50893/61440), 容差8 0.00%
H5帧699: 精确匹配 83.72% (51440/61440), 容差8 0.00%
H5帧700: 精确匹配 83.73% (51441/61440), 容差8 0.00%
H5帧701: 精确匹配 83.70% (51427/61440), 容差8 0.00%
H5帧702: 精确匹配 73.89% (45401/61440), 容差8 0.00%
H5帧703: 精确匹配 73.89% (45401/61440), 容差8 0.00%
H5帧704: 精确匹配 73.89% (45401/61440), 容差8 0.00%
H5帧705: 精确匹配 73.89% (45401/61440), 容差8 0.00%
H5帧706: 精确匹配 76.72% (47136/61440), 容差8 0.00%
H5帧707: 精确匹配 76.72% (47136/61440), 容差8 0.00%
H5帧708: 精确匹配 77.07% (47350/61440), 容差8 0.00%
H5帧709: 精确匹配 77.07% (47350/61440), 容差8 0.00%
H5帧710: 精确匹配 81.55% (50107/61440), 容差8 0.00%
H5帧711: 精确匹配 81.54% (50097/61440), 容差8 0.00%
H5帧712: 精确匹配 81.49% (50069/61440), 容差8 0.00%
H5帧713: 精确匹配 81.49% (50069/61440), 容差8 0.00%
H5帧714: 精确匹配 74.49% (45764/61440), 容差8 0.00%
H5帧715: 精确匹配 74.49% (45764/61440), 容差8 0.00%
