=== H5 f710 OAM ===
slot0 y=100 tile=92 attr=67 x=153
slot1 y=108 tile=94 attr=67 x=153
slot2 y=100 tile=93 attr=67 x=145
slot3 y=108 tile=95 attr=67 x=145
slot4 y=36 tile=44 attr=64 x=129
slot5 y=44 tile=40 attr=64 x=129
slot6 y=52 tile=42 attr=64 x=129
slot7 y=36 tile=45 attr=64 x=121
slot8 y=44 tile=41 attr=64 x=121
slot9 y=52 tile=43 attr=64 x=121
slot10 y=44 tile=46 attr=64 x=113
slot11 y=40 tile=4 attr=65 x=145
slot12 y=92 tile=26 attr=65 x=145
slot13 y=100 tile=48 attr=65 x=145
slot14 y=108 tile=50 attr=67 x=145
slot15 y=41 tile=5 attr=65 x=137
slot16 y=49 tile=2 attr=65 x=137
slot17 y=76 tile=32 attr=65 x=137
slot18 y=84 tile=34 attr=65 x=138
slot19 y=84 tile=35 attr=65 x=130
slot20 y=92 tile=27 attr=65 x=137
slot21 y=100 tile=49 attr=65 x=137
slot22 y=44 tile=16 attr=65 x=129
slot23 y=52 tile=3 attr=65 x=129
slot24 y=60 tile=9 attr=65 x=129
slot25 y=60 tile=10 attr=66 x=129
slot26 y=68 tile=11 attr=66 x=132
slot27 y=68 tile=14 attr=66 x=124
slot28 y=76 tile=33 attr=65 x=129
slot29 y=52 tile=6 attr=65 x=121
slot30 y=60 tile=12 attr=65 x=121
slot31 y=76 tile=36 attr=65 x=121
slot32 y=84 tile=38 attr=65 x=121
slot33 y=52 tile=7 attr=65 x=113
slot34 y=60 tile=13 attr=65 x=113
slot35 y=68 tile=15 attr=66 x=116
slot36 y=76 tile=37 attr=65 x=113
slot37 y=84 tile=39 attr=65 x=113
slot38 y=84 tile=10 attr=67 x=113
slot39 y=92 tile=8 attr=65 x=113
slot40 y=52 tile=18 attr=65 x=105
slot41 y=60 tile=24 attr=65 x=105
slot43 y=0 tile=0 attr=0 x=0
slot44 y=0 tile=0 attr=0 x=0
slot45 y=0 tile=0 attr=0 x=0
slot46 y=0 tile=0 attr=0 x=0
slot47 y=0 tile=0 attr=0 x=0
slot48 y=0 tile=0 attr=0 x=0
slot49 y=0 tile=0 attr=0 x=0
slot50 y=0 tile=0 attr=0 x=0
slot51 y=0 tile=0 attr=0 x=0
slot52 y=0 tile=0 attr=0 x=0
slot53 y=0 tile=0 attr=0 x=0
slot54 y=0 tile=0 attr=0 x=0
slot55 y=0 tile=0 attr=0 x=0
slot56 y=0 tile=0 attr=0 x=0
slot57 y=0 tile=0 attr=0 x=0
slot58 y=0 tile=0 attr=0 x=0
slot59 y=0 tile=0 attr=0 x=0
slot60 y=0 tile=0 attr=0 x=0
slot61 y=0 tile=0 attr=0 x=0
slot62 y=0 tile=0 attr=0 x=0
slot63 y=0 tile=0 attr=0 x=248
