=== H5 f3731 OAM ===
slot0 y=92 tile=64 attr=32 x=116
slot1 y=92 tile=95 attr=33 x=116
slot2 y=100 tile=68 attr=32 x=116
slot3 y=100 tile=99 attr=33 x=116
slot4 y=108 tile=72 attr=32 x=116
slot5 y=108 tile=103 attr=33 x=116
slot6 y=116 tile=76 attr=32 x=116
slot7 y=116 tile=107 attr=34 x=116
slot8 y=124 tile=80 attr=35 x=116
slot9 y=124 tile=111 attr=34 x=116
slot10 y=132 tile=115 attr=33 x=116
slot11 y=148 tile=88 attr=35 x=116
slot12 y=148 tile=120 attr=34 x=116
slot13 y=156 tile=91 attr=35 x=116
slot14 y=156 tile=123 attr=34 x=116
slot15 y=92 tile=65 attr=32 x=124
slot16 y=92 tile=96 attr=33 x=124
slot17 y=100 tile=69 attr=35 x=124
slot18 y=100 tile=100 attr=34 x=124
slot19 y=108 tile=73 attr=35 x=124
slot20 y=108 tile=104 attr=34 x=124
slot21 y=116 tile=77 attr=35 x=124
slot22 y=116 tile=108 attr=34 x=124
slot23 y=124 tile=81 attr=32 x=124
slot24 y=124 tile=112 attr=34 x=124
slot25 y=132 tile=84 attr=32 x=124
slot26 y=132 tile=116 attr=33 x=124
slot27 y=140 tile=86 attr=32 x=124
slot28 y=140 tile=118 attr=33 x=124
slot29 y=148 tile=89 attr=35 x=124
slot30 y=148 tile=121 attr=34 x=124
slot31 y=156 tile=92 attr=35 x=124
slot32 y=156 tile=124 attr=34 x=124
slot33 y=92 tile=66 attr=35 x=132
slot34 y=92 tile=97 attr=34 x=132
slot35 y=100 tile=70 attr=35 x=132
slot36 y=100 tile=101 attr=34 x=132
slot37 y=108 tile=74 attr=35 x=132
slot38 y=108 tile=105 attr=34 x=132
slot39 y=116 tile=78 attr=35 x=132
slot40 y=116 tile=109 attr=34 x=132
slot41 y=124 tile=82 attr=32 x=132
slot42 y=124 tile=113 attr=34 x=132
slot43 y=132 tile=85 attr=32 x=132
slot44 y=132 tile=117 attr=34 x=132
slot45 y=140 tile=87 attr=32 x=132
slot46 y=140 tile=119 attr=34 x=132
slot47 y=148 tile=90 attr=35 x=132
slot48 y=148 tile=122 attr=34 x=132
slot49 y=156 tile=93 attr=35 x=132
slot50 y=156 tile=125 attr=34 x=132
slot51 y=92 tile=67 attr=32 x=140
slot52 y=92 tile=98 attr=34 x=140
slot53 y=100 tile=71 attr=32 x=140
slot54 y=100 tile=102 attr=34 x=140
slot55 y=108 tile=75 attr=35 x=140
slot56 y=108 tile=106 attr=34 x=140
slot57 y=116 tile=79 attr=35 x=140
slot58 y=116 tile=110 attr=34 x=140
slot59 y=124 tile=83 attr=35 x=140
slot60 y=124 tile=114 attr=34 x=140
slot61 y=156 tile=94 attr=35 x=140
slot62 y=156 tile=126 attr=34 x=140
slot63 y=48 tile=0 attr=32 x=248
