[emu-full] mapper=4 PRG=16 CHR=32 frames=4332
  f1/4332  fps=5.8  eta=749s  audio=733  apuWrites=0
  f200/4332  fps=8.1  eta=510s  audio=146770  apuWrites=2
  f400/4332  fps=8.5  eta=461s  audio=293543  apuWrites=1451
  f600/4332  fps=9.3  eta=402s  audio=440333  apuWrites=3762
  f800/4332  fps=9.8  eta=359s  audio=587123  apuWrites=6074
  f1000/4332  fps=10.1  eta=330s  audio=733896  apuWrites=8387
  f1200/4332  fps=9.7  eta=322s  audio=880666  apuWrites=10750
  f1400/4332  fps=9.6  eta=307s  audio=1027437  apuWrites=13034
  f1600/4332  fps=9.6  eta=285s  audio=1174207  apuWrites=15321
  f1800/4332  fps=9.5  eta=267s  audio=1320978  apuWrites=17674
  f2000/4332  fps=9.3  eta=252s  audio=1467748  apuWrites=20068
