JSR $A212 at PRG idx 0x000807 bank 0 runtime $8807 (R7 base $A000: $a807)
JMP $A484 at PRG idx 0x004212 bank 2 runtime $8212 (R7 base $A000: $a212)
op $85 $0091 at PRG idx 0x000085 bank 0 runtime $8085 (R7 base $A000: $a085)
op $85 $0091 at PRG idx 0x0009f7 bank 0 runtime $89f7 (R7 base $A000: $a9f7)
op $01 $0091 at PRG idx 0x0011f9 bank 0 runtime $91f9 (R7 base $A000: $b1f9)
op $01 $0091 at PRG idx 0x001234 bank 0 runtime $9234 (R7 base $A000: $b234)
op $01 $0091 at PRG idx 0x001279 bank 0 runtime $9279 (R7 base $A000: $b279)
op $01 $0091 at PRG idx 0x0012af bank 0 runtime $92af (R7 base $A000: $b2af)
op $01 $0091 at PRG idx 0x001314 bank 0 runtime $9314 (R7 base $A000: $b314)
op $01 $0091 at PRG idx 0x001331 bank 0 runtime $9331 (R7 base $A000: $b331)
op $01 $0091 at PRG idx 0x00149a bank 0 runtime $949a (R7 base $A000: $b49a)
op $01 $0091 at PRG idx 0x0016b0 bank 0 runtime $96b0 (R7 base $A000: $b6b0)
op $01 $0091 at PRG idx 0x0016de bank 0 runtime $96de (R7 base $A000: $b6de)
op $85 $0091 at PRG idx 0x002134 bank 1 runtime $8134 (R7 base $A000: $a134)
op $85 $0091 at PRG idx 0x002d59 bank 1 runtime $8d59 (R7 base $A000: $ad59)
op $85 $0091 at PRG idx 0x004268 bank 2 runtime $8268 (R7 base $A000: $a268)
op $85 $0091 at PRG idx 0x0044f2 bank 2 runtime $84f2 (R7 base $A000: $a4f2)
op $85 $0091 at PRG idx 0x004536 bank 2 runtime $8536 (R7 base $A000: $a536)
op $91 $0091 at PRG idx 0x010ba9 bank 8 runtime $8ba9 (R7 base $A000: $aba9)
op $91 $0091 at PRG idx 0x010baa bank 8 runtime $8baa (R7 base $A000: $abaa)
op $91 $0091 at PRG idx 0x010bdc bank 8 runtime $8bdc (R7 base $A000: $abdc)
op $91 $0091 at PRG idx 0x010bdd bank 8 runtime $8bdd (R7 base $A000: $abdd)
op $91 $0091 at PRG idx 0x010bed bank 8 runtime $8bed (R7 base $A000: $abed)
op $91 $0091 at PRG idx 0x010bee bank 8 runtime $8bee (R7 base $A000: $abee)
op $55 $0091 at PRG idx 0x010bf4 bank 8 runtime $8bf4 (R7 base $A000: $abf4)
op $91 $0091 at PRG idx 0x010bf5 bank 8 runtime $8bf5 (R7 base $A000: $abf5)
op $91 $0091 at PRG idx 0x010bfe bank 8 runtime $8bfe (R7 base $A000: $abfe)
op $91 $0091 at PRG idx 0x010bff bank 8 runtime $8bff (R7 base $A000: $abff)
op $91 $0091 at PRG idx 0x010c07 bank 8 runtime $8c07 (R7 base $A000: $ac07)
op $91 $0091 at PRG idx 0x010c08 bank 8 runtime $8c08 (R7 base $A000: $ac08)
op $91 $0091 at PRG idx 0x010c0f bank 8 runtime $8c0f (R7 base $A000: $ac0f)
op $91 $0091 at PRG idx 0x010c10 bank 8 runtime $8c10 (R7 base $A000: $ac10)
op $01 $0091 at PRG idx 0x0110bf bank 8 runtime $90bf (R7 base $A000: $b0bf)
op $f5 $0091 at PRG idx 0x0125c9 bank 9 runtime $85c9 (R7 base $A000: $a5c9)
op $05 $0091 at PRG idx 0x01821d bank 12 runtime $821d (R7 base $A000: $a21d)
op $f5 $0091 at PRG idx 0x018412 bank 12 runtime $8412 (R7 base $A000: $a412)
op $f5 $0091 at PRG idx 0x01859e bank 12 runtime $859e (R7 base $A000: $a59e)
op $f5 $0091 at PRG idx 0x0185df bank 12 runtime $85df (R7 base $A000: $a5df)
op $01 $0091 at PRG idx 0x0185fb bank 12 runtime $85fb (R7 base $A000: $a5fb)
op $81 $0091 at PRG idx 0x018bf0 bank 12 runtime $8bf0 (R7 base $A000: $abf0)
op $a4 $0091 at PRG idx 0x019188 bank 12 runtime $9188 (R7 base $A000: $b188)
op $24 $0091 at PRG idx 0x01c01e bank 14 runtime $801e (R7 base $A000: $a01e)
op $24 $0091 at PRG idx 0x01c044 bank 14 runtime $8044 (R7 base $A000: $a044)
op $24 $0091 at PRG idx 0x01c061 bank 14 runtime $8061 (R7 base $A000: $a061)
op $24 $0091 at PRG idx 0x01c068 bank 14 runtime $8068 (R7 base $A000: $a068)
op $24 $0091 at PRG idx 0x01c099 bank 14 runtime $8099 (R7 base $A000: $a099)
op $24 $0091 at PRG idx 0x01c0c2 bank 14 runtime $80c2 (R7 base $A000: $a0c2)
op $24 $0091 at PRG idx 0x01c143 bank 14 runtime $8143 (R7 base $A000: $a143)
op $24 $0091 at PRG idx 0x01c14c bank 14 runtime $814c (R7 base $A000: $a14c)
op $24 $0091 at PRG idx 0x01c18a bank 14 runtime $818a (R7 base $A000: $a18a)
op $24 $0091 at PRG idx 0x01c193 bank 14 runtime $8193 (R7 base $A000: $a193)
op $24 $0091 at PRG idx 0x01c19e bank 14 runtime $819e (R7 base $A000: $a19e)
op $24 $0091 at PRG idx 0x01c1af bank 14 runtime $81af (R7 base $A000: $a1af)
op $24 $0091 at PRG idx 0x01c1c0 bank 14 runtime $81c0 (R7 base $A000: $a1c0)
op $24 $0091 at PRG idx 0x01c1cd bank 14 runtime $81cd (R7 base $A000: $a1cd)
op $24 $0091 at PRG idx 0x01c1da bank 14 runtime $81da (R7 base $A000: $a1da)
op $25 $0091 at PRG idx 0x01c217 bank 14 runtime $8217 (R7 base $A000: $a217)
op $24 $0091 at PRG idx 0x01c3d5 bank 14 runtime $83d5 (R7 base $A000: $a3d5)
op $24 $0091 at PRG idx 0x01c3e1 bank 14 runtime $83e1 (R7 base $A000: $a3e1)
op $24 $0091 at PRG idx 0x01c3ed bank 14 runtime $83ed (R7 base $A000: $a3ed)
op $24 $0091 at PRG idx 0x01c412 bank 14 runtime $8412 (R7 base $A000: $a412)
op $24 $0091 at PRG idx 0x01c42b bank 14 runtime $842b (R7 base $A000: $a42b)
op $24 $0091 at PRG idx 0x01c434 bank 14 runtime $8434 (R7 base $A000: $a434)
op $24 $0091 at PRG idx 0x01c45e bank 14 runtime $845e (R7 base $A000: $a45e)
op $24 $0091 at PRG idx 0x01c4e7 bank 14 runtime $84e7 (R7 base $A000: $a4e7)
op $24 $0091 at PRG idx 0x01c50a bank 14 runtime $850a (R7 base $A000: $a50a)
op $24 $0091 at PRG idx 0x01c581 bank 14 runtime $8581 (R7 base $A000: $a581)
op $24 $0091 at PRG idx 0x01c6ee bank 14 runtime $86ee (R7 base $A000: $a6ee)
op $24 $0091 at PRG idx 0x01c6ff bank 14 runtime $86ff (R7 base $A000: $a6ff)
op $24 $0091 at PRG idx 0x01c710 bank 14 runtime $8710 (R7 base $A000: $a710)
op $24 $0091 at PRG idx 0x01c721 bank 14 runtime $8721 (R7 base $A000: $a721)
op $24 $0091 at PRG idx 0x01cb6b bank 14 runtime $8b6b (R7 base $A000: $ab6b)
op $24 $0091 at PRG idx 0x01cb9f bank 14 runtime $8b9f (R7 base $A000: $ab9f)
op $24 $0091 at PRG idx 0x01d3b1 bank 14 runtime $93b1 (R7 base $A000: $b3b1)
op $24 $0091 at PRG idx 0x01d3c7 bank 14 runtime $93c7 (R7 base $A000: $b3c7)
op $24 $0091 at PRG idx 0x01d3cf bank 14 runtime $93cf (R7 base $A000: $b3cf)
op $24 $0091 at PRG idx 0x01d3e5 bank 14 runtime $93e5 (R7 base $A000: $b3e5)
op $24 $0091 at PRG idx 0x01d402 bank 14 runtime $9402 (R7 base $A000: $b402)
op $24 $0091 at PRG idx 0x01d421 bank 14 runtime $9421 (R7 base $A000: $b421)
op $24 $0091 at PRG idx 0x01d437 bank 14 runtime $9437 (R7 base $A000: $b437)
op $24 $0091 at PRG idx 0x01d43f bank 14 runtime $943f (R7 base $A000: $b43f)
op $24 $0091 at PRG idx 0x01d455 bank 14 runtime $9455 (R7 base $A000: $b455)
op $24 $0091 at PRG idx 0x01d50d bank 14 runtime $950d (R7 base $A000: $b50d)
op $24 $0091 at PRG idx 0x01d515 bank 14 runtime $9515 (R7 base $A000: $b515)
op $24 $0091 at PRG idx 0x01d52f bank 14 runtime $952f (R7 base $A000: $b52f)
op $24 $0091 at PRG idx 0x01d53c bank 14 runtime $953c (R7 base $A000: $b53c)
op $24 $0091 at PRG idx 0x01d544 bank 14 runtime $9544 (R7 base $A000: $b544)
op $24 $0091 at PRG idx 0x01d55e bank 14 runtime $955e (R7 base $A000: $b55e)
op $24 $0091 at PRG idx 0x01d582 bank 14 runtime $9582 (R7 base $A000: $b582)
op $24 $0091 at PRG idx 0x01d5ac bank 14 runtime $95ac (R7 base $A000: $b5ac)
op $24 $0091 at PRG idx 0x01d5c1 bank 14 runtime $95c1 (R7 base $A000: $b5c1)
op $24 $0091 at PRG idx 0x01d5da bank 14 runtime $95da (R7 base $A000: $b5da)
op $24 $0091 at PRG idx 0x01d5ed bank 14 runtime $95ed (R7 base $A000: $b5ed)
op $01 $0091 at PRG idx 0x01f81a bank 15 runtime $981a (R7 base $A000: $b81a)
op $24 $0091 at PRG idx 0x01f843 bank 15 runtime $9843 (R7 base $A000: $b843)
op $24 $0091 at PRG idx 0x01f982 bank 15 runtime $9982 (R7 base $A000: $b982)
op $24 $0091 at PRG idx 0x01f98a bank 15 runtime $998a (R7 base $A000: $b98a)
op $24 $0091 at PRG idx 0x01facf bank 15 runtime $9acf (R7 base $A000: $bacf)
op $24 $0091 at PRG idx 0x01fb14 bank 15 runtime $9b14 (R7 base $A000: $bb14)
op $24 $0091 at PRG idx 0x01fb8a bank 15 runtime $9b8a (R7 base $A000: $bb8a)
op $24 $0091 at PRG idx 0x01fc23 bank 15 runtime $9c23 (R7 base $A000: $bc23)
op $24 $0091 at PRG idx 0x01fc2b bank 15 runtime $9c2b (R7 base $A000: $bc2b)
op $21 $0091 at PRG idx 0x01fe5f bank 15 runtime $9e5f (R7 base $A000: $be5f)
op $85 $0091 at PRG idx 0x024b27 bank 18 runtime $8b27 (R7 base $A000: $ab27)
