=== bank 01 ===
  $01:40960-$40960255  x26092
  $01:43008-$43008255  x5203
  $01:43520-$43520255  x946
  $01:41216-$41216255  x275
  $01:41984-$41984255  x16
  $01:41728-$41728255  x6
  $01:41472-$41472255  x2
=== bank 00 ===
  $00:40704-$40704255  x12557
  $00:37120-$37120255  x8908
  $00:39424-$39424255  x5704
  $00:38144-$38144255  x3025
  $00:38656-$38656255  x2056
  $00:38400-$38400255  x1905
  $00:33536-$33536255  x907
  $00:37376-$37376255  x649
  $00:37888-$37888255  x622
  $00:33280-$33280255  x531
  $00:35328-$35328255  x426
  $00:39680-$39680255  x253
  $00:35072-$35072255  x233
  $00:40448-$40448255  x204
  $00:34816-$34816255  x108
  $00:33792-$33792255  x88
  $00:39168-$39168255  x81
  $00:36864-$36864255  x73
  $00:36608-$36608255  x63
  $00:37632-$37632255  x62
  $00:34048-$34048255  x43
  $00:38912-$38912255  x15
  $00:34304-$34304255  x7
  $00:35584-$35584255  x6
=== bank 0F ===
  $0F:50176-$50176255  x7009
  $0F:50944-$50944255  x753
  $0F:51200-$51200255  x456
  $0F:50432-$50432255  x403
=== bank 06 ===
  $06:32768-$32768255  x11892
  $06:33024-$33024255  x5577
  $06:33280-$33280255  x1306
  $06:33792-$33792255  x845
  $06:33536-$33536255  x356
  $06:34304-$34304255  x91
  $06:34048-$34048255  x17
