frame headers: 99771 f6 .. f4355
RAM write targets: 799
top 60:
  $4017 x2040
  $4016 x1146
  $0706 x985
  $8001 x899
  $8000 x882
  $2007 x386
  $0566 x355
  $0700 x341
  $0468 x196
  $0564 x181
  $0565 x178
  $02FD x178
  $02FE x178
  $0567 x178
  $02FF x178
  $02FC x177
  $07FC x174
  $0702 x171
  $0701 x171
  $0705 x170
  $0704 x170
  $0703 x170
  $0719 x169
  $0717 x163
  $2006 x161
  $02FA x146
  $0563 x146
  $02FB x146
  $046B x137
  $009C x116
  $009D x116
  $0578 x109
  $0579 x104
  $0630 x101
  $0629 x99
  $046C x98
  $0631 x96
  $04A7 x96
  $062C x95
  $04A4 x95
  $04A0 x93
  $04A3 x93
  $009B x92
  $046F x90
  $062F x85
  $07CA x84
  $056E x83
  $056F x83
  $2000 x82
  $062D x80
  $046A x78
  $009A x78
  $062E x75
  $0628 x75
  $0632 x74
  $04CF x66
  $0569 x66
  $9EE1 x63
  $062B x63
  $0016 x63
^C
