f=1 ed=0xFF ec=0xFF 57=0xFF 26=0xFF ptr(4D)=0xFFFF
f=3 ed=0x0 ec=0x0 57=0x0 26=0x0 ptr(4D)=0x0
f=5 ed=0x7 ec=0x0 57=0x0 26=0x0 ptr(4D)=0x0
f=7 ed=0x0 ec=0x13 57=0x0 26=0x0 ptr(4D)=0xA022
f=9 ed=0x0 ec=0x13 57=0x0 26=0x0 ptr(4D)=0xA027
f=26 ed=0x0 ec=0x13 57=0x0 26=0x0 ptr(4D)=0xA028
f=266 ed=0x0 ec=0x13 57=0x0 26=0x0 ptr(4D)=0xA029
f=281 ed=0x0 ec=0x13 57=0x0 26=0x0 ptr(4D)=0xA02C
f=341 ed=0x0 ec=0x13 57=0x0 26=0x0 ptr(4D)=0xA031
f=377 ed=0x0 ec=0x13 57=0x0 26=0x0 ptr(4D)=0xA038
f=378 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA040
f=383 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA041
f=388 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA042
f=393 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA043
f=398 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA044
f=403 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA045
f=463 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA046
f=468 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA047
f=473 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA048
f=478 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA049
f=483 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA04A
f=488 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA04B
f=493 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA04C
f=498 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA04D
f=503 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA04E
f=508 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA04F
f=513 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA050
f=518 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA051
f=523 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA052
f=527 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA053
f=532 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA054
f=537 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA055
f=542 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA056
f=547 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA057
f=552 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA058
f=557 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA059
f=562 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA05A
f=567 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA05B
f=572 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA05C
f=577 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA05D
f=582 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA05E
f=587 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA05F
f=592 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA060
f=597 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA061
f=601 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA062
f=606 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA063
f=611 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA064
f=616 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA065
f=621 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA066
f=626 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA067
f=631 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA068
f=636 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA069
f=641 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA06A
f=646 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA06B
f=651 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA06C
f=656 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA06D
f=660 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA06E
f=665 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA06F
f=670 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA070
f=675 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA071
f=680 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA072
f=685 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA073
f=690 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA074
f=695 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA075
f=700 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA076
f=705 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA077
f=710 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA078
f=715 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA079
f=720 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA07A
f=725 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA07B
f=730 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA07C
f=735 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA07D
f=740 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA07E
f=744 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA07F
f=804 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA080
f=819 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA081
f=823 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA087
f=828 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA08E
f=845 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA092
f=846 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA093
f=847 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA094
f=848 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA095
f=849 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA096
f=850 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA097
f=851 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA098
f=852 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA099
f=853 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA09A
f=854 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA09B
f=855 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA09C
f=856 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA09D
f=860 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA09E
f=861 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA09F
f=862 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A0
f=863 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A1
f=864 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A2
f=865 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A3
f=866 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A4
f=867 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A5
f=868 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A6
f=869 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A7
f=873 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A8
f=874 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A9
f=875 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0AA
f=876 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0AB
f=877 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0AC
f=878 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0AD
f=879 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0AE
f=880 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0AF
f=881 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B0
f=882 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B1
f=883 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B2
f=884 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B3
f=885 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B4
f=889 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B5
f=905 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B7
f=1025 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B8
f=1040 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B9
f=1044 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0BA
f=1062 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0C0
f=1063 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0C6
f=1083 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0C9
f=1103 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0CC
